ds,y,temperature,humidity,is_weekend,school_holiday
2024/8/1,32,24.8,0.72,0,1
2024/8/2,29,25.4,0.72,0,1
2024/8/3,22,26.9,0.72,1,1
2024/8/4,40,29.8,0.72,1,1
2024/8/5,24,31.7,0.72,0,1
2024/8/6,23,32.6,0.72,0,1
2024/8/7,9,33.2,0.72,0,1
2024/8/8,13,32.7,0.72,0,1
2024/8/9,6,31,0.72,0,1
2024/8/10,16,27.3,0.72,1,1
2024/8/11,16,27,0.72,1,1
2024/8/12,13,28.1,0.72,0,1
2024/8/13,14,26.4,0.72,0,1
2024/8/14,7,27,0.72,0,1
2024/8/15,6,29,0.72,0,1
2024/8/16,12,30.6,0.72,0,1
2024/8/17,10,32.6,0.72,1,1
2024/8/18,10,32.3,0.72,1,1
2024/8/19,8,31.7,0.72,0,1
2024/8/20,13,31.3,0.72,0,1
2024/8/21,9,32.9,0.72,0,1
2024/8/22,12,33,0.72,0,1
2024/8/23,3,33.7,0.72,0,1
2024/8/24,2,32.7,0.72,1,1
2024/8/25,4,32.9,0.72,1,1
2024/8/26,7,31.6,0.72,0,1
2024/8/27,2,29.2,0.72,0,1
2024/8/28,6,28.8,0.72,0,1
2024/8/29,6,31,0.72,0,1
2024/8/30,5,31.8,0.72,0,1
2024/8/31,7,30.9,0.72,1,1
2024/9/1,11,31.8,0.69,1,1
2024/9/2,11,32.1,0.69,0,1
2024/9/3,6,35,0.69,0,0
2024/9/4,4,31.5,0.69,0,0
2024/9/5,9,31.9,0.69,0,0
2024/9/6,5,32,0.69,0,0
2024/9/7,3,30.2,0.69,1,0
2024/9/8,8,31.3,0.69,1,0
2024/9/9,6,31.5,0.69,0,0
2024/9/10,4,32.3,0.69,0,0
2024/9/11,9,26.8,0.69,0,0
2024/9/12,6,23.8,0.69,0,0
2024/9/13,11,24.6,0.69,0,0
2024/9/14,3,27.5,0.69,1,0
2024/9/15,5,26.8,0.69,1,0
2024/9/16,2,26.8,0.69,0,0
2024/9/17,3,28.3,0.69,0,0
2024/9/18,7,28.7,0.69,0,0
2024/9/19,6,27.7,0.69,0,0
2024/9/20,6,29.9,0.69,0,0
2024/9/21,6,24,0.69,1,0
2024/9/22,2,21.8,0.69,1,0
2024/9/23,7,21.1,0.69,0,0
2024/9/24,8,21.3,0.69,0,0
2024/9/25,8,23.3,0.69,0,0
2024/9/26,9,24.8,0.69,0,0
2024/9/27,5,25.1,0.69,0,0
2024/9/28,6,27.4,0.69,1,0
2024/9/29,7,28.6,0.69,1,0
2024/9/30,6,24.1,0.69,0,0
2024/10/1,1,20.4,0.71,0,0
2024/10/2,2,21.1,0.71,0,0
2024/10/3,4,18.5,0.71,0,0
2024/10/4,1,18,0.71,0,0
2024/10/5,3,20.3,0.71,1,0
2024/10/6,7,20.2,0.71,1,0
2024/10/7,4,17,0.71,0,0
2024/10/8,14,18.3,0.71,0,0
2024/10/9,11,20.6,0.71,0,0
2024/10/10,4,21.3,0.71,0,0
2024/10/11,4,21.3,0.71,0,0
2024/10/12,2,22.8,0.71,1,0
2024/10/13,2,20,0.71,1,0
2024/10/14,6,19.6,0.71,0,0
2024/10/15,5,20.7,0.71,0,0
2024/10/16,4,23,0.71,0,0
2024/10/17,6,21.5,0.71,0,0
2024/10/18,8,23.4,0.71,0,0
2024/10/19,9,18,0.71,1,0
2024/10/20,3,14.2,0.71,1,0
2024/10/21,3,11.9,0.71,0,0
2024/10/22,0,13.4,0.71,0,0
2024/10/23,5,13.4,0.71,0,0
2024/10/24,9,14.5,0.71,0,0
2024/10/25,5,16.8,0.71,0,0
2024/10/26,6,18.4,0.71,1,0
2024/10/27,4,18.5,0.71,1,0
2024/10/28,6,16.5,0.71,0,0
2024/10/29,8,16.5,0.71,0,0
2024/10/30,4,16.5,0.71,0,0
2024/10/31,2,16.5,0.71,0,0
2024/11/1,3,17.4,0.76,0,0
2024/11/2,4,16.5,0.76,1,0
2024/11/3,4,16.1,0.76,1,0
2024/11/4,9,18,0.76,0,0
2024/11/5,0,15.7,0.76,0,0
2024/11/6,0,13.9,0.76,0,0
2024/11/7,0,14,0.76,0,0
2024/11/8,2,15.1,0.76,0,0
2024/11/9,1,16.7,0.76,1,0
2024/11/10,5,16.1,0.76,1,0
2024/11/11,7,16.9,0.76,0,0
2024/11/12,1,17.8,0.76,0,0
2024/11/13,0,18.8,0.76,0,0
2024/11/14,0,20.4,0.76,0,0
2024/11/15,5,20.8,0.76,0,0
2024/11/16,3,18.8,0.76,1,0
2024/11/17,4,11.2,0.76,1,0
2024/11/18,9,10.5,0.76,0,0
2024/11/19,6,9.2,0.76,0,0
2024/11/20,7,9.7,0.76,0,0
2024/11/21,12,9.6,0.76,0,0
2024/11/22,3,11.3,0.76,0,0
2024/11/23,8,10.9,0.76,1,0
2024/11/24,1,11.7,0.76,1,0
2024/11/25,6,9.4,0.76,0,0
2024/11/26,5,7.4,0.76,0,0
2024/11/27,9,6.9,0.76,0,0
2024/11/28,8,6.9,0.76,0,0
2024/11/29,6,8,0.76,0,0
2024/11/30,8,9.1,0.76,1,0
2024/12/1,8,9.8,0.62,1,0
2024/12/2,13,12,0.62,0,0
2024/12/3,2,10.9,0.62,0,0
2024/12/4,6,8.3,0.62,0,0
2024/12/5,7,8.9,0.62,0,0
2024/12/6,7,9.8,0.62,0,0
2024/12/7,2,9.7,0.62,1,0
2024/12/8,12,7.8,0.62,1,0
2024/12/9,10,6.8,0.62,0,0
2024/12/10,5,6,0.62,0,0
2024/12/11,14,6.3,0.62,0,0
2024/12/12,5,4.7,0.62,0,0
2024/12/13,7,5.8,0.62,0,0
2024/12/14,6,3.8,0.62,1,0
2024/12/15,3,2.7,0.62,1,0
2024/12/16,10,4.3,0.62,0,0
2024/12/17,7,4,0.62,0,0
2024/12/18,4,5.1,0.62,0,0
2024/12/19,8,2,0.62,0,0
2024/12/20,6,2.4,0.62,0,0
2024/12/21,3,4,0.62,1,0
2024/12/22,4,3.3,0.62,1,0
2024/12/23,6,2.7,0.62,0,0
2024/12/24,4,1.8,0.62,0,0
2024/12/25,5,4.7,0.62,0,0
2024/12/26,6,6,0.62,0,0
2024/12/27,2,6.2,0.62,0,0
2024/12/28,8,1.8,0.62,1,0
2024/12/29,1,2,0.62,1,0
2024/12/30,7,5.6,0.62,0,0
2024/12/31,5,4.3,0.62,0,0
2025/1/1,4,5.4,0.61,0,0
2025/1/2,3,5.6,0.61,0,0
2025/1/3,3,4.9,0.61,0,0
2025/1/4,3,6.7,0.61,1,0
2025/1/5,6,5.4,0.61,1,0
2025/1/6,8,6,0.61,0,0
2025/1/7,1,6.6,0.61,0,0
2025/1/8,3,6.4,0.61,0,0
2025/1/9,2,3.8,0.61,0,0
2025/1/10,2,1.3,0.61,0,0
2025/1/11,2,4.8,0.61,1,0
2025/1/12,2,5,0.61,1,0
2025/1/13,2,7.6,0.61,0,1
2025/1/14,2,10.1,0.61,0,1
2025/1/15,1,5,0.61,0,1
2025/1/16,1,3.7,0.61,0,1
2025/1/17,1,3.3,0.61,0,1
2025/1/18,2,6,0.61,1,1
2025/1/19,4,6.2,0.61,1,1
2025/1/20,2,6.5,0.61,0,1
2025/1/21,1,7.7,0.61,0,1
2025/1/22,1,9,0.61,0,1
2025/1/23,1,9.6,0.61,0,1
2025/1/24,0,7.7,0.61,0,1
2025/1/25,0,5.9,0.61,1,1
2025/1/26,2,3.8,0.61,1,1
2025/1/27,0,3.3,0.61,0,1
2025/1/28,0,2.4,0.61,0,1
2025/1/29,0,5.3,0.61,0,1
2025/1/30,1,9.8,0.61,0,1
2025/1/31,1,5.7,0.61,0,1
2025/2/1,0,3.3,0.65,1,1
2025/2/2,2,3.8,0.65,1,1
2025/2/3,2,5.3,0.65,0,1
2025/2/4,0,4.6,0.65,0,1
2025/2/5,1,6.8,0.65,0,1
2025/2/6,3,5.3,0.65,0,1
2025/2/7,4,2.3,0.65,0,1
2025/2/8,2,0,0.65,1,1
2025/2/9,4,0.6,0.65,1,1
2025/2/10,3,6.6,0.65,0,1
2025/2/11,0,6.5,0.65,0,1
2025/2/12,2,7.9,0.65,0,1
2025/2/13,1,6,0.65,0,0
2025/2/14,1,6.3,0.65,0,0
2025/2/15,3,6.7,0.65,1,0
2025/2/16,3,8.3,0.65,1,0
2025/2/17,1,8.9,0.65,0,0
2025/2/18,0,7.9,0.65,0,0
2025/2/19,1,10.8,0.65,0,0
2025/2/20,0,8.8,0.65,0,0
2025/2/21,1,7.4,0.65,0,0
2025/2/22,4,6.7,0.65,1,0
2025/2/23,4,6.9,0.65,1,0
2025/2/24,11,6.7,0.65,0,0
2025/2/25,5,8,0.65,0,0
2025/2/26,4,8.4,0.65,0,0
2025/2/27,1,12.4,0.65,0,0
2025/2/28,3,15.3,0.65,0,0
